    bedb    bea1    bf5f    3dbd    3f21    3e3d    3f3f    bb51    bb0b
    bed9    bea0    bf5f    3dbd    3f21    3e3d    3f3f    3b0b    3b8b
    bed9    bea1    bf5e    3dbd    3f21    3e3d    3f3f    3b51    3b8b
    bed9    bea1    bf5d    3dbc    3f21    3e3d    3f3f    bb8b    bb0b
    bed8    be9f    bf5e    3dbc    3f21    3e3d    3f3f    3a8b    ba8b
    bed9    bea2    bf5f    3dbc    3f21    3e3d    3f3f    3b0b    3b51
    bedb    bea4    bf5e    3dbc    3f21    3e3d    3f3f    3b8b    3a8b
    bed9    bea0    bf5d    3dbc    3f21    3e3d    3f3f    0000    ba8b
    bed9    bea1    bf5c    3dbc    3f21    3e3d    3f3f    ba8b    bbae
    beda    bea3    bf5d    3dbc    3f21    3e3d    3f3f    3bd1    3a8b
    beda    bea1    bf5f    3dbc    3f21    3e3d    3f3f    ba8b    3b0b
    bed9    bea1    bf5e    3dbc    3f21    3e3d    3f3f    3b0b    ba8b
    bedb    bea1    bf5d    3dbc    3f21    3e3d    3f3f    0000    bbae
    bed7    bea1    bf5d    3dbc    3f21    3e3d    3f3f    0000    3a8b
    bed8    bea2    bf5d    3dbc    3f21    3e3d    3f3f    3a8b    3b51
    bed9    bea2    bf5d    3dbc    3f21    3e3d    3f3f    3b51    ba8b
    bedb    bea0    bf61    3dbc    3f21    3e3d    3f3f    3b0b    3b51
    beda    bea0    bf5e    3dbc    3f21    3e3d    3f3f    ba8b    3b0b
    bed9    bea0    bf5d    3dbc    3f21    3e3d    3f3f    0000    ba8b
    bed9    bea2    bf5f    3dbc    3f21    3e3d    3f3f    3b0b    3b0b
    bed8    bea3    bf5f    3dbc    3f21    3e3d    3f3f    ba8b    3b8b
    bedb    bea1    bf5e    3dbc    3f21    3e3d    3f3f    ba8b    bbae
    bed8    bea2    bf5e    3dbc    3f21    3e3d    3f3f    3b51    ba8b
    bed8    bea1    bf5d    3dbc    3f21    3e3d    3f3f    bb0b    3b51
    bedb    bea0    bf5e    3dbc    3f21    3e3d    3f3f    3b0b    3a8b
    bed8    bea2    bf5e    3dbc    3f21    3e3d    3f3f    3a8b    3b0b
    bed9    bea2    bf5e    3dbc    3f21    3e3d    3f3f    ba8b    3b8b
    bed9    bea2    bf5f    3dbc    3f21    3e3d    3f3f    3b51    3b0b
    beda    bea0    bf5d    3dbc    3f21    3e3d    3f3f    3a8b    bb0b
    bed9    bea0    bf5e    3dbc    3f21    3e3d    3f3f    3b0b    3b0b
    bed9    bea3    bf5f    3dbc    3f21    3e3d    3f3f    3b0b    3bae
    bed9    bea3    bf5f    3dbc    3f21    3e3d    3f3f    3a8b    3b0b
    bed9    bea0    bf5e    3dbc    3f21    3e3d    3f3f    3a8b    ba8b
    bed8    bea2    bf5e    3dbc    3f21    3e3d    3f3f    3a8b    bb0b
    beda    bea3    bf5e    3dbc    3f21    3e3d    3f3f    3b0b    3bae
    beda    bea0    bf5f    3dbc    3f21    3e3d    3f3f    0000    3b0b
