acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
16171,16294,48689,16258,16211,15997,16101,16018,16008,15958,16173,15804,16117,16000,16208,48939,48902,48880
16134,16237,48524,16162,16185,16013,16152,48650,16048,16149,16141,15966,16174,15873,16271,48971,48856,48901
16297,16163,15617,16259,16168,48728,16214,16108,48900,16260,16246,48973,16153,16275,16131,49008,48856,48917
16032,16135,16014,16063,15867,16123,15818,48987,16141,16045,15864,16211,15657,48710,16266,48945,48849,48856
16244,16304,48655,16259,16260,15740,16332,16195,48716,16305,16288,48905,48433,16194,15907,48923,48893,48913
16106,16055,16086,16150,15614,16184,16222,48762,15954,16230,16109,15248,16182,16138,16115,48956,48830,48918
49063,48500,16148,16241,48860,16359,16305,48996,16115,16273,16284,48690,16218,16279,48561,49031,48650,48653
16234,16134,16129,16193,15860,16134,16227,48701,15986,16263,16130,15689,16146,16089,16152,48920,48899,48941
16018,16248,15992,16156,16195,16106,16206,16072,15767,16126,16195,16005,16141,16206,15991,48957,48881,48919
16007,16260,16030,16186,16174,16155,16256,16012,16000,16116,16157,16023,15730,16066,16212,48914,48889,48856
16335,16445,48871,16428,16322,15941,16430,49073,48976,16458,48744,15546,16244,15798,16022,16000,48980,48873
16100,16288,48266,16186,16195,16049,16193,48548,16002,16248,16168,15878,16022,15782,16261,48936,48910,48705
16165,16191,48487,16084,16174,15735,48761,49071,16042,16102,16138,16063,16176,48831,16328,48986,48928,48734
16272,15976,16100,16355,15941,16056,16354,16169,48946,15894,16130,48925,15968,15959,15842,48987,48414,48708
16280,16279,48322,16301,16073,15990,16228,49064,48848,16326,48658,16058,16180,48897,16372,49003,48935,48679
48560,16126,48910,48586,15837,48594,47888,48955,15895,16139,48421,16015,15972,15749,16148,48974,48774,48519
16162,16093,48745,16195,15867,15763,16226,15669,48814,16200,16148,48859,16148,15880,16232,49054,48799,48679
16222,16133,48798,16229,15997,48639,16003,48927,48908,16229,49037,15924,16119,15368,16268,49031,48827,48658
16161,16089,48766,16096,15969,48405,15973,48935,48675,16174,48364,15945,16116,48924,16323,49019,48787,48792
16281,16012,48779,16297,15909,48849,16276,48647,49021,16291,48907,48914,16029,16161,16093,48996,48831,48831
16159,16129,48697,16201,15969,15878,16248,15689,48822,16215,16160,48895,16229,48088,16232,49057,48715,48927
16144,16227,48839,16184,16198,48755,48700,48634,48881,16129,48990,16093,16357,48385,16292,49035,48887,48707
15999,15751,48852,48454,48759,48642,48651,49003,48662,16142,48763,48447,16132,48921,16271,49010,15823,48713
16330,16154,48300,16388,15958,48638,16385,48774,48993,16356,16164,48948,15626,16234,16129,49001,48982,48896
15985,15721,48771,16364,15930,48672,16412,16381,49049,16053,16268,49110,16147,16211,48720,48982,48556,48830
16305,16158,48958,16330,16033,49018,16277,16079,49085,16238,48937,48952,48913,15682,16229,49017,48831,48721
16112,16080,48800,16177,15911,48599,16156,15490,48899,16171,15770,48905,16060,48725,16195,48999,48567,48798
16243,16088,48872,16285,16033,48882,16278,48816,48966,16308,48573,48868,16112,16009,16143,49013,48800,48535
