acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
16047,48954,16223,15763,48969,16229,48652,48988,16200,48806,48955,16205,49026,48721,15926,14848,16017,16260
16052,48925,16199,15776,48940,16207,48636,48959,16188,48821,48935,16202,49029,48710,15960,15232,15976,16256
16139,48911,16218,16020,48932,16237,15833,48955,16209,48647,48912,16224,49016,48600,16034,48647,15841,16257
16144,48792,16184,16064,48819,16197,15970,48880,16194,48516,48781,16209,48990,15683,16052,48691,48453,16242
16158,48617,16179,16103,48705,16203,16035,48805,16204,15364,48652,16232,48986,15917,16070,48707,48675,16248
16148,48382,16172,16115,48608,16199,16059,48767,16204,15648,48631,16247,48997,15949,16091,48671,48732,16239
16136,48282,16167,16098,48527,16193,16057,48735,16202,15675,48509,16234,48986,15984,16051,48635,48745,16228
16131,48582,16180,16063,48638,16217,16009,48710,16220,48518,15554,16241,49002,16017,16096,48715,48775,16229
16187,48513,16172,16144,48407,16198,16129,48570,16190,15962,15988,16191,48940,16052,16105,48819,48793,16228
16190,48398,16156,16151,48318,16187,16140,48549,16182,16015,15913,16217,48914,16090,16108,48861,48814,16212
16184,47968,16146,16158,48152,16181,16145,48607,16188,16015,15891,16225,48925,16084,16131,48862,48814,16214
16209,48508,16145,16173,48580,16184,16157,48709,16185,16031,15753,16232,48934,16065,16151,48887,48794,16208
16204,48574,16145,16169,48650,16187,16148,48753,16190,16018,15240,16245,48947,16049,16157,48885,48777,16218
16222,48507,16129,16194,48630,16169,16179,48770,16170,16096,48228,16229,48933,16010,16176,48886,48772,16215
16209,48625,16100,16185,48678,16152,16164,48795,16158,16087,48601,16229,48930,15965,16175,48882,48730,16207
16213,48671,16037,16194,48750,16113,16169,48848,16136,16104,48741,16216,48933,15866,16202,48892,48676,16196
16247,48768,16003,16233,48831,16103,16208,48903,16110,16167,48788,16205,48881,15818,16235,48954,48669,16187
16223,48841,16008,16214,48886,16104,16184,48921,16101,16147,48818,16199,48869,15861,16228,48973,48695,16168
16296,48646,48658,16300,48818,15759,16291,48918,15673,16283,48843,16138,48601,48435,16275,48997,48714,16140
16215,48655,48595,16219,48754,15646,16197,48826,15675,16193,48710,16047,48595,15783,16219,48970,48693,16130
16221,48585,48662,16217,48771,48008,16194,48853,15685,16196,48766,16063,48423,15890,16210,48983,48689,16088
16245,48344,48765,16245,48786,48628,16224,48885,48585,16238,48866,16043,48613,48577,16258,48991,48641,16128
16255,48743,48705,16238,48871,48652,16205,48919,48669,16214,48920,16012,48770,48589,16248,49007,48616,16099
16245,48679,48691,16232,48824,48654,16204,48899,48658,16201,48902,15970,48766,48559,16234,49000,48582,16111
16246,48775,48670,16211,48864,48703,16175,48910,48700,16177,48904,15734,48770,48548,16187,48989,48547,16133
16246,48917,48781,16195,48963,48836,16145,48996,48848,16146,49009,48661,48918,48735,16183,48936,15702,16198
16224,48899,48817,16176,49004,48808,16100,49027,48839,16087,49028,48527,48966,48773,16143,48878,15813,16230
16204,48889,15840,16177,48897,15898,16081,48909,16015,15905,48880,16157,49038,48778,16102,15562,15854,16265
16002,48853,16192,48322,48861,16210,48665,48797,16192,48847,48642,16195,49017,15699,48302,15769,15722,16256
15713,48758,16238,48743,48792,16260,48806,48789,16266,48906,48386,16209,49000,15759,48418,15816,47936,16235
16078,16027,16113,15966,15870,16170,15891,48543,16218,48653,48700,16267,49036,48780,16113,16067,15564,16266
16076,48651,16199,15846,48560,16218,15764,48548,16218,48784,15822,16195,48978,48389,16007,48397,15548,16264
16210,48657,16230,16150,48775,16262,16117,48854,16237,16110,48775,16230,48976,48799,16049,15956,15372,16254
16093,48848,16181,15795,48952,16269,48755,48977,16258,48779,48928,16226,49011,48769,16049,15775,15272,16241
16006,48945,16118,48072,48937,15898,48687,48915,15304,48765,48975,15372,49000,48695,48784,15992,15753,16244
48434,48980,48538,48784,48944,48799,48887,48911,48794,48868,48927,48831,48978,48804,48769,16072,15997,16254
48772,49043,48594,48916,49026,48704,48978,48979,48741,48968,48947,48830,48986,48645,48891,16100,16026,16207
48787,49009,48743,48899,48952,48877,48940,48875,48901,48921,48901,48921,48996,48767,48898,16123,16050,16201
48855,48985,48734,48919,48948,48806,48960,48905,48842,48952,48879,48922,48973,48856,48911,16158,16088,16204
48865,48975,48752,48919,48942,48778,48957,48878,48841,48932,48908,48882,48932,48914,48907,16160,16108,16205
48908,49046,48696,48984,49004,48750,49023,48922,48759,48980,48930,48800,48897,48838,48968,16082,16085,16177
48938,49013,15504,48957,48976,15572,48977,48947,15636,48946,48924,48604,48873,48892,48931,16116,16061,16173
48896,48961,16128,48907,48904,16011,48938,48870,15936,48951,48892,15572,48913,48911,48937,16163,16078,16196
48932,48920,16090,48920,48896,16164,48949,48825,16139,48948,48887,16070,48932,48949,48846,16146,16059,16189
48870,48943,16084,48834,48882,16196,48899,48833,16191,48926,48856,16151,48908,48952,48809,16133,16064,16213
48704,48957,16070,48798,48838,16163,48917,48704,16178,48963,48715,16163,49024,48943,15907,16110,16033,16225
15973,49068,16238,48294,48967,16324,15536,48915,16287,48616,48738,16209,48914,48882,48132,48526,15987,16225
16128,48806,16238,15961,48831,16249,15870,48812,16221,15532,48690,16210,48866,48663,15983,48591,15973,16254
